DATE_TIME,HIGH_USD-CAD,LOW_USD-CAD,OPEN_USD-CAD,CLOSE_USD-CAD,DIFF_USD-CAD
2019-01-02 06:00:00,1.3655700000000002,1.36469,1.36479,1.3654700000000002,0.000680000000000236
2019-01-02 06:15:00,1.36549,1.36482,1.36548,1.36485,-0.0006300000000001305
2019-01-02 06:30:00,1.3650799999999998,1.36469,1.36485,1.36469,-0.00015999999999993797
2019-01-02 06:45:00,1.36498,1.36466,1.36469,1.36486,0.00017000000000000348
2019-01-02 07:00:00,1.36491,1.36473,1.36486,1.36489,2.999999999997449e-05
2019-01-02 07:15:00,1.36513,1.36256,1.36489,1.36259,-0.0022999999999999687
2019-01-02 07:30:00,1.3626200000000002,1.35963,1.36259,1.35966,-0.002929999999999877
2019-01-02 07:45:00,1.36044,1.35893,1.3596700000000002,1.3601,0.00042999999999993044
2019-01-02 08:00:00,1.36051,1.35878,1.3601,1.35966,-0.00043999999999999595
2019-01-02 08:15:00,1.36009,1.35941,1.35966,1.36002,0.00035999999999991594
2019-01-02 08:30:00,1.36077,1.36001,1.36002,1.36036,0.00034000000000000696
2019-01-02 08:45:00,1.36104,1.3602,1.36036,1.36065,0.00028999999999990145
2019-01-02 09:00:00,1.36096,1.35839,1.36065,1.3586,-0.0020499999999998852
2019-01-02 09:15:00,1.35885,1.35791,1.3586,1.35849,-0.0001100000000000545
2019-01-02 09:30:00,1.35858,1.35711,1.35849,1.35723,-0.0012600000000000389
2019-01-02 09:45:00,1.35782,1.3569,1.35723,1.35768,0.00045000000000006146
2019-01-02 10:00:00,1.36022,1.35734,1.35768,1.36014,0.0024599999999999067
2019-01-02 10:15:00,1.3611799999999998,1.35978,1.3601299999999998,1.36099,0.0008600000000000829
2019-01-02 10:30:00,1.36229,1.36099,1.36099,1.36228,0.0012900000000000134
2019-01-02 10:45:00,1.36238,1.36154,1.36229,1.362,-0.00028999999999990145
2019-01-02 11:00:00,1.36349,1.36195,1.362,1.36276,0.0007599999999998719
2019-01-02 11:15:00,1.36313,1.36237,1.36276,1.36249,-0.00026999999999999247
2019-01-02 11:30:00,1.36311,1.36245,1.36249,1.36285,0.00035999999999991594
2019-01-02 11:45:00,1.36288,1.362,1.36285,1.3627,-0.00014999999999987246
2019-01-02 12:00:00,1.36279,1.36194,1.36269,1.36239,-0.00029999999999996696
2019-01-02 12:15:00,1.36302,1.3622,1.36239,1.36297,0.0005800000000000249
2019-01-02 12:30:00,1.36324,1.36292,1.36297,1.36304,7.00000000000145e-05
2019-01-02 12:45:00,1.36315,1.36285,1.36304,1.36314,9.999999999998899e-05
