DATE_TIME,HIGH_USD-CHF,LOW_USD-CHF,OPEN_USD-CHF,CLOSE_USD-CHF,DIFF_USD-CHF
2019-01-02 06:00:00,0.98374,0.98349,0.98359,0.98357,-1.999999999990898e-05
2019-01-02 06:15:00,0.98359,0.9835,0.98357,0.98357,0.0
2019-01-02 06:30:00,0.98373,0.98339,0.98357,0.98342,-0.0001500000000000945
2019-01-02 06:45:00,0.9836,0.98341,0.98342,0.98356,0.000140000000000029
2019-01-02 07:00:00,0.98359,0.98337,0.98355,0.98338,-0.00017000000000000348
2019-01-02 07:15:00,0.98345,0.98294,0.98338,0.98298,-0.00040000000000006697
2019-01-02 07:30:00,0.98311,0.98235,0.98298,0.98237,-0.0006099999999999994
2019-01-02 07:45:00,0.98243,0.98165,0.98237,0.98166,-0.0007099999999999884
2019-01-02 08:00:00,0.9817,0.9801,0.98166,0.9804,-0.0012599999999999278
2019-01-02 08:15:00,0.98053,0.97962,0.98041,0.98028,-0.00012999999999996348
2019-01-02 08:30:00,0.98069,0.98026,0.98028,0.98033,4.999999999999449e-05
2019-01-02 08:45:00,0.98119,0.98015,0.98033,0.98102,0.0006899999999999684
2019-01-02 09:00:00,0.9814,0.9805,0.98101,0.98084,-0.00017000000000000348
2019-01-02 09:15:00,0.9812,0.98059,0.98084,0.9812,0.00035999999999991594
2019-01-02 09:30:00,0.9815,0.98089,0.9812,0.9812,0.0
2019-01-02 09:45:00,0.98171,0.9811,0.98119,0.98137,0.00017999999999995797
2019-01-02 10:00:00,0.98163,0.98099,0.98145,0.98156,0.00010999999999994348
2019-01-02 10:15:00,0.98261,0.98155,0.98156,0.98214,0.0005800000000000249
2019-01-02 10:30:00,0.98319,0.98199,0.98213,0.98214,1.0000000000065512e-05
2019-01-02 10:45:00,0.98235,0.98136,0.98212,0.98136,-0.0007599999999999829
2019-01-02 11:00:00,0.98214,0.98102,0.98136,0.98134,-2.0000000000020002e-05
2019-01-02 11:15:00,0.98225,0.98116,0.98133,0.98214,0.0008099999999999774
2019-01-02 11:30:00,0.98342,0.98175,0.98214,0.98323,0.0010900000000000354
2019-01-02 11:45:00,0.98386,0.98323,0.98323,0.98372,0.0004899999999999904
2019-01-02 12:00:00,0.98374,0.98318,0.98371,0.98332,-0.00039000000000000146
2019-01-02 12:15:00,0.98372,0.98317,0.98332,0.98347,0.00014999999999998348
2019-01-02 12:30:00,0.98372,0.98332,0.98347,0.98363,0.000160000000000049
2019-01-02 12:45:00,0.98438,0.98338,0.98363,0.98431,0.0006800000000000139
2019-01-02 13:00:00,0.98502,0.98431,0.98431,0.985,0.0006899999999999684
2019-01-02 13:15:00,0.9851,0.98451,0.985,0.98477,-0.00022999999999995246
2019-01-02 13:30:00,0.98483,0.98421,0.98477,0.98466,-0.0001100000000000545
2019-01-02 13:45:00,0.98487,0.98429,0.98465,0.98448,-0.00017000000000000348
2019-01-02 14:00:00,0.98493,0.98442,0.98447,0.98487,0.00040000000000006697
2019-01-02 14:15:00,0.98658,0.98477,0.98487,0.98656,0.0016899999999999693
2019-01-02 14:30:00,0.98658,0.98571,0.98655,0.98581,-0.0007400000000000739
2019-01-02 14:45:00,0.98591,0.98556,0.98581,0.98571,-9.999999999998899e-05
2019-01-02 15:00:00,0.98608,0.98555,0.98571,0.98608,0.00036999999999998145
2019-01-02 15:15:00,0.98747,0.98563,0.98608,0.98711,0.0010300000000000864
2019-01-02 15:30:00,0.9875,0.98644,0.98711,0.98709,-2.0000000000020002e-05
2019-01-02 15:45:00,0.98847,0.98701,0.98709,0.98838,0.0012900000000000134
