DATE_TIME,HIGH_USD-JPY,LOW_USD-JPY,OPEN_USD-JPY,CLOSE_USD-JPY,DIFF_USD-JPY
2019-01-02 06:00:00,109.427,109.353,109.418,109.357,-0.06100000000000705
2019-01-02 06:15:00,109.37,109.34,109.357,109.351,-0.006000000000000227
2019-01-02 06:30:00,109.386,109.346,109.351,109.364,0.01300000000000523
2019-01-02 06:45:00,109.388,109.364,109.364,109.386,0.02199999999999136
2019-01-02 07:00:00,109.403,109.367,109.386,109.4,0.014000000000010004
2019-01-02 07:15:00,109.423,109.385,109.4,109.396,-0.0040000000000048885
2019-01-02 07:30:00,109.406,109.35,109.396,109.352,-0.04399999999999693
2019-01-02 07:45:00,109.372,109.296,109.352,109.301,-0.05100000000000193
2019-01-02 08:00:00,109.302,109.159,109.301,109.201,-0.10000000000000853
2019-01-02 08:15:00,109.203,109.124,109.201,109.158,-0.042999999999992156
2019-01-02 08:30:00,109.184,109.139,109.158,109.149,-0.009000000000000341
2019-01-02 08:45:00,109.263,109.137,109.149,109.253,0.1039999999999992
2019-01-02 09:00:00,109.275,109.193,109.253,109.222,-0.03100000000000591
2019-01-02 09:15:00,109.258,109.18,109.222,109.251,0.029000000000010573
2019-01-02 09:30:00,109.31,109.238,109.251,109.31,0.0589999999999975
2019-01-02 09:45:00,109.344,109.273,109.31,109.306,-0.0040000000000048885
2019-01-02 10:00:00,109.32,109.157,109.307,109.183,-0.12399999999999523
2019-01-02 10:15:00,109.193,109.1,109.183,109.109,-0.07400000000001228
2019-01-02 10:30:00,109.11,108.9,109.109,108.919,-0.18999999999999773
2019-01-02 10:45:00,109.038,108.914,108.918,108.948,0.029999999999986926
2019-01-02 11:00:00,108.97,108.782,108.949,108.791,-0.15800000000000125
2019-01-02 11:15:00,108.861,108.705,108.791,108.844,0.05299999999999727
2019-01-02 11:30:00,108.908,108.789,108.844,108.889,0.045000000000001705
2019-01-02 11:45:00,108.975,108.887,108.889,108.94,0.05100000000000193
2019-01-02 12:00:00,108.999,108.886,108.94,108.893,-0.046999999999997044
2019-01-02 12:15:00,108.939,108.886,108.893,108.924,0.03100000000000591
2019-01-02 12:30:00,108.936,108.878,108.924,108.925,0.000999999999990564
2019-01-02 12:45:00,109.1,108.923,108.925,109.044,0.11899999999999977
2019-01-02 13:00:00,109.153,109.041,109.044,109.141,0.09700000000000841
2019-01-02 13:15:00,109.174,109.106,109.143,109.13,-0.01300000000000523
2019-01-02 13:30:00,109.137,109.044,109.13,109.07,-0.060000000000002274
2019-01-02 13:45:00,109.118,109.055,109.07,109.105,0.0350000000000108
2019-01-02 14:00:00,109.234,109.099,109.105,109.226,0.12099999999999511
2019-01-02 14:15:00,109.283,109.192,109.226,109.265,0.03900000000000148
2019-01-02 14:30:00,109.265,109.152,109.265,109.176,-0.08899999999999864
2019-01-02 14:45:00,109.196,109.13,109.176,109.14,-0.036000000000001364
2019-01-02 15:00:00,109.163,108.985,109.14,109.016,-0.12399999999999523
2019-01-02 15:15:00,109.035,108.818,109.016,108.93,-0.08599999999999852
2019-01-02 15:30:00,109.102,108.925,108.929,109.098,0.16899999999999693
2019-01-02 15:45:00,109.193,109.058,109.098,109.186,0.08800000000000807
2019-01-02 16:00:00,109.251,109.173,109.186,109.228,0.04199999999998738
2019-01-02 16:15:00,109.28,109.21,109.228,109.258,0.030000000000001137
2019-01-02 16:30:00,109.323,109.217,109.259,109.281,0.02200000000000557
2019-01-02 16:45:00,109.357,109.267,109.281,109.335,0.053999999999987836
2019-01-02 17:00:00,109.355,109.263,109.335,109.344,0.009000000000000341
2019-01-02 17:15:00,109.379,109.31,109.343,109.345,0.001999999999995339
2019-01-02 17:30:00,109.383,109.316,109.345,109.356,0.01099999999999568
2019-01-02 17:45:00,109.39,109.263,109.356,109.28,-0.0759999999999934
2019-01-02 18:00:00,109.346,109.265,109.279,109.29,0.01100000000000989
2019-01-02 18:15:00,109.307,109.263,109.29,109.281,-0.009000000000000341
2019-01-02 18:30:00,109.355,109.265,109.281,109.347,0.06599999999998829
2019-01-02 18:45:00,109.353,109.211,109.347,109.216,-0.13100000000000023
2019-01-02 19:00:00,109.315,109.216,109.216,109.309,0.09300000000000352
2019-01-02 19:15:00,109.351,109.247,109.308,109.262,-0.04600000000000648
2019-01-02 19:30:00,109.395,109.25,109.261,109.387,0.12600000000000477
2019-01-02 19:45:00,109.461,109.371,109.387,109.44,0.05299999999999727
2019-01-02 20:00:00,109.453,109.404,109.44,109.418,-0.02199999999999136
2019-01-02 20:15:00,109.448,109.376,109.419,109.433,0.014000000000010004
2019-01-02 20:30:00,109.444,109.401,109.433,109.416,-0.017000000000010118
2019-01-02 20:45:00,109.447,109.402,109.416,109.446,0.030000000000001137
2019-01-02 21:00:00,109.447,109.347,109.446,109.371,-0.07500000000000284
2019-01-02 21:15:00,109.39,109.351,109.371,109.359,-0.012000000000000455
2019-01-02 21:30:00,109.388,109.309,109.359,109.322,-0.03699999999999193
2019-01-02 21:45:00,109.355,109.179,109.322,109.192,-0.13000000000000966
2019-01-02 22:00:00,109.198,109.035,109.192,109.125,-0.06699999999999307
2019-01-02 22:15:00,109.156,109.09,109.125,109.121,-0.0040000000000048885
2019-01-02 22:30:00,109.143,109.072,109.119,109.078,-0.04099999999999682
2019-01-02 22:45:00,109.123,109.076,109.078,109.078,0.0
2019-01-02 23:00:00,109.121,109.076,109.079,109.102,0.023000000000010346
2019-01-02 23:15:00,109.108,109.085,109.102,109.09,-0.012000000000000455
2019-01-02 23:30:00,109.103,108.892,109.09,108.965,-0.125
2019-01-02 23:45:00,108.983,108.861,108.983,108.87,-0.11299999999999955
2019-01-03 00:00:00,108.907,108.798,108.872,108.825,-0.046999999999997044
2019-01-03 00:15:00,108.826,108.645,108.823,108.652,-0.17099999999999227
2019-01-03 00:30:00,108.659,105.165,108.652,106.476,-2.176000000000002
2019-01-03 00:45:00,106.988,105.913,106.44,106.549,0.10900000000000887
2019-01-03 01:00:00,107.41,106.581,106.619,106.98,0.3610000000000042
2019-01-03 01:15:00,107.578,106.82,106.98,107.578,0.597999999999999
